# number of spin vectors:      11
# iteration   EID vector   S_X            S_Y            S_Z
         1    20     10 -0.6012530E-04  0.0000000E+00  0.1000000E+01

         1    21      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1    21      1  0.1764221E-07  0.0000000E+00  0.1000000E+01
         1    21      2 -0.5400774E-04  0.0000000E+00  0.1000000E+01
         1    21      3 -0.8102009E-04  0.0000000E+00  0.1000000E+01
         1    21      4 -0.1080322E-03  0.0000000E+00  0.1000000E+01
         1    21      5 -0.1350441E-03  0.0000000E+00  0.1000000E+01
         1    21      6 -0.1620557E-03  0.0000000E+00  0.1000000E+01
         1    21      7 -0.1890670E-03  0.0000000E+00  0.1000000E+01
         1    21      8 -0.2160780E-03  0.0000000E+00  0.1000000E+01
         1    21      9 -0.2430888E-03  0.0000000E+00  0.1000000E+01
         1    21     10 -0.6012530E-04  0.0000000E+00  0.1000000E+01

         1    22      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1    22      1  0.1764221E-07  0.0000000E+00  0.1000000E+01
         1    22      2 -0.5400774E-04  0.0000000E+00  0.1000000E+01
         1    22      3 -0.8102009E-04  0.0000000E+00  0.1000000E+01
         1    22      4 -0.1080322E-03  0.0000000E+00  0.1000000E+01
         1    22      5 -0.1350441E-03  0.0000000E+00  0.1000000E+01
         1    22      6 -0.1620557E-03  0.0000000E+00  0.1000000E+01
         1    22      7 -0.1890670E-03  0.0000000E+00  0.1000000E+01
         1    22      8 -0.2160780E-03  0.0000000E+00  0.1000000E+01
         1    22      9 -0.2430888E-03  0.0000000E+00  0.1000000E+01
         1    22     10 -0.6012530E-04  0.0000000E+00  0.1000000E+01

         1    23      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1    23      1  0.3528442E-07  0.0000000E+00  0.1000000E+01
         1    23      2 -0.5398151E-04  0.0000000E+00  0.1000000E+01
         1    23      3 -0.8098957E-04  0.0000000E+00  0.1000000E+01
         1    23      4 -0.1079974E-03  0.0000000E+00  0.1000000E+01
         1    23      5 -0.1350049E-03  0.0000000E+00  0.1000000E+01
         1    23      6 -0.1620122E-03  0.0000000E+00  0.1000000E+01
         1    23      7 -0.1890193E-03  0.0000000E+00  0.1000000E+01
         1    23      8 -0.2160260E-03  0.0000000E+00  0.1000000E+01
         1    23      9 -0.2430325E-03  0.0000000E+00  0.1000000E+01
         1    23     10 -0.5743978E-04  0.0000000E+00  0.1000000E+01

         1    24      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1    24      1  0.3528442E-07  0.0000000E+00  0.1000000E+01
         1    24      2 -0.5398151E-04  0.0000000E+00  0.1000000E+01
         1    24      3 -0.8098957E-04  0.0000000E+00  0.1000000E+01
         1    24      4 -0.1079974E-03  0.0000000E+00  0.1000000E+01
         1    24      5 -0.1350049E-03  0.0000000E+00  0.1000000E+01
         1    24      6 -0.1620122E-03  0.0000000E+00  0.1000000E+01
         1    24      7 -0.1890193E-03  0.0000000E+00  0.1000000E+01
         1    24      8 -0.2160260E-03  0.0000000E+00  0.1000000E+01
         1    24      9 -0.2430325E-03  0.0000000E+00  0.1000000E+01
         1    24     10 -0.5743978E-04  0.0000000E+00  0.1000000E+01

         1    25      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1    25      1  0.3528442E-07  0.0000000E+00  0.1000000E+01
         1    25      2 -0.5398151E-04  0.0000000E+00  0.1000000E+01
         1    25      3 -0.8098957E-04  0.0000000E+00  0.1000000E+01
         1    25      4 -0.1079974E-03  0.0000000E+00  0.1000000E+01
         1    25      5 -0.1350049E-03  0.0000000E+00  0.1000000E+01
         1    25      6 -0.1620122E-03  0.0000000E+00  0.1000000E+01
         1    25      7 -0.1890193E-03  0.0000000E+00  0.1000000E+01
         1    25      8 -0.2160260E-03  0.0000000E+00  0.1000000E+01
         1    25      9 -0.2430325E-03  0.0000000E+00  0.1000000E+01
         1    25     10 -0.5743978E-04  0.0000000E+00  0.1000000E+01

         1    26      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1    26      1  0.3528442E-07  0.0000000E+00  0.1000000E+01
         1    26      2 -0.5398151E-04  0.0000000E+00  0.1000000E+01
         1    26      3 -0.8098957E-04  0.0000000E+00  0.1000000E+01
         1    26      4 -0.1079974E-03  0.0000000E+00  0.1000000E+01
         1    26      5 -0.1350049E-03  0.0000000E+00  0.1000000E+01
         1    26      6 -0.1620122E-03  0.0000000E+00  0.1000000E+01
         1    26      7 -0.1890193E-03  0.0000000E+00  0.1000000E+01
         1    26      8 -0.2160260E-03  0.0000000E+00  0.1000000E+01
         1    26      9 -0.2430325E-03  0.0000000E+00  0.1000000E+01
         1    26     10 -0.5743978E-04  0.0000000E+00  0.1000000E+01

         1    27      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1    27      1  0.3528442E-07  0.0000000E+00  0.1000000E+01
         1    27      2 -0.7204789E-04  0.0000000E+00  0.1000000E+01
         1    27      3 -0.1080892E-03  0.0000000E+00  0.1000000E+01
         1    27      4 -0.1441304E-03  0.0000000E+00  0.1000000E+01
         1    27      5 -0.1801713E-03  0.0000000E+00  0.1000000E+01
         1    27      6 -0.2162120E-03  0.0000000E+00  0.1000000E+01
         1    27      7 -0.2522526E-03  0.0000000E+00  0.1000000E+01
         1    27      8 -0.2882929E-03  0.0000000E+00  0.1000000E+01
         1    27      9 -0.3243330E-03  0.0000000E+00  0.9999999E+00
         1    27     10  0.2449608E-04  0.0000000E+00  0.1000000E+01

         1    28      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1    28      1  0.3528442E-07  0.0000000E+00  0.1000000E+01
         1    28      2 -0.9281844E-04  0.0000000E+00  0.1000000E+01
         1    28      3 -0.1392451E-03  0.0000000E+00  0.1000000E+01
         1    28      4 -0.1856717E-03  0.0000000E+00  0.1000000E+01
         1    28      5 -0.2320981E-03  0.0000000E+00  0.1000000E+01
         1    28      6 -0.2785243E-03  0.0000000E+00  0.1000000E+01
         1    28      7 -0.3249505E-03  0.0000000E+00  0.9999999E+00
         1    28      8 -0.3713765E-03  0.0000000E+00  0.9999999E+00
         1    28      9 -0.4178023E-03  0.0000000E+00  0.9999999E+00
         1    28     10  0.1154490E-03  0.0000000E+00  0.1000000E+01

         1    29      0  0.0000000E+00  0.0000000E+00  0.0000000E+00
         1    29      1  0.3528442E-07  0.0000000E+00  0.1000000E+01
         1    29      2 -0.9281844E-04  0.0000000E+00  0.1000000E+01
         1    29      3 -0.1392451E-03  0.0000000E+00  0.1000000E+01
         1    29      4 -0.1856717E-03  0.0000000E+00  0.1000000E+01
         1    29      5 -0.2320981E-03  0.0000000E+00  0.1000000E+01
         1    29      6 -0.2785243E-03  0.0000000E+00  0.1000000E+01
